seed,method,tau_low,tau_high,theta,scorer,conformal_target_recall,coreset_budget,safety_recall,storage_savings_pct,duplicate_pairs,samples_removed,n_test,level0_count,level1_count,level2_count,level3_count
42,path_b,0.2,0.5,0.85,bnn_combined,0.95,off,0.93202416918429,42.33888177550149,206020,1984,4686,2698,3991,98,133
42,path_b,0.2,0.5,0.85,bnn_combined,0.99,off,0.9901812688821753,22.91933418693982,206020,1074,4686,3611,3991,98,133
42,path_b,0.2,0.5,0.85,isolation_forest,0.9,off,0.8935045317220544,28.104993597951346,206020,1317,4686,3319,3991,98,133
42,path_b,0.2,0.5,0.85,isolation_forest,0.95,off,0.947129909365559,16.53862569355527,206020,775,4686,3891,3991,98,133
42,path_b,0.2,0.5,0.85,isolation_forest,0.99,off,0.9856495468277946,6.1459667093469905,206020,288,4686,4395,3991,98,133
42,path_b,0.2,0.5,0.85,autoencoder,0.9,off,0.9531722054380665,12.483994878361075,206020,585,4686,4012,3991,98,133
42,path_b,0.2,0.5,0.85,autoencoder,0.95,off,0.9765861027190332,7.93854033290653,206020,372,4686,4262,3991,98,133
42,path_b,0.2,0.5,0.85,autoencoder,0.99,off,0.9962235649546828,2.283397353819889,206020,107,4686,4571,3991,98,133
42,path_b,0.2,0.5,0.85,ecod,0.9,off,0.9388217522658611,18.608621425522834,206020,872,4686,3741,3991,98,133
42,path_b,0.2,0.5,0.85,ecod,0.95,off,0.9675226586102719,9.453691848058044,206020,443,4686,4205,3991,98,133
42,path_b,0.2,0.5,0.85,ecod,0.99,off,0.9947129909365559,2.0913358941527957,206020,98,4686,4581,3991,98,133
42,path_b,0.3,0.5,0.85,off,off,off,0.2107250755287009,90.09816474605206,217452,4222,4686,0,4224,98,133
42,path_b,0.3,0.5,0.85,bnn_mean,0.9,off,0.8761329305135952,56.636790439607346,217452,2654,4686,2014,4224,98,133
42,path_b,0.3,0.5,0.85,bnn_mean,0.95,off,0.9290030211480362,43.53393085787452,217452,2040,4686,2642,4224,98,133
42,path_b,0.3,0.5,0.85,bnn_mean,0.99,off,0.9894259818731118,24.349125053350406,217452,1141,4686,3544,4224,98,133
42,path_b,0.3,0.5,0.85,bnn_variance,0.9,off,0.879154078549849,22.385830132309007,217452,1049,4686,3636,4224,98,133
42,path_b,0.3,0.5,0.85,bnn_variance,0.95,off,0.9305135951661632,17.26419120785318,217452,809,4686,3876,4224,98,133
42,path_b,0.3,0.5,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,217452,533,4686,4152,4224,98,133
42,path_b,0.3,0.5,0.85,bnn_combined,0.9,off,0.8806646525679759,53.41442594963721,217452,2503,4686,2179,4224,98,133
42,path_b,0.3,0.5,0.85,bnn_combined,0.95,off,0.93202416918429,42.381562099871964,217452,1986,4686,2698,4224,98,133
42,path_b,0.3,0.5,0.85,bnn_combined,0.99,off,0.9901812688821753,22.91933418693982,217452,1074,4686,3611,4224,98,133
42,path_b,0.3,0.5,0.85,isolation_forest,0.9,off,0.8874622356495468,28.702518139137855,217452,1345,4686,3319,4224,98,133
42,path_b,0.3,0.5,0.85,isolation_forest,0.95,off,0.9441087613293051,16.79470763977806,217452,787,4686,3891,4224,98,133
42,path_b,0.3,0.5,0.85,isolation_forest,0.99,off,0.9856495468277946,6.167306871532223,217452,289,4686,4395,4224,98,133
42,path_b,0.3,0.5,0.85,autoencoder,0.9,off,0.9448640483383686,13.081519419547588,217452,613,4686,4012,4224,98,133
42,path_b,0.3,0.5,0.85,autoencoder,0.95,off,0.9712990936555891,8.322663252240718,217452,390,4686,4262,4224,98,133
42,path_b,0.3,0.5,0.85,autoencoder,0.99,off,0.9947129909365559,2.4114383269312847,217452,113,4686,4571,4224,98,133
42,path_b,0.3,0.5,0.85,ecod,0.9,off,0.9222054380664653,19.696969696969695,217452,923,4686,3741,4224,98,133
42,path_b,0.3,0.5,0.85,ecod,0.95,off,0.959214501510574,10.13657703798549,217452,475,4686,4205,4224,98,133
42,path_b,0.3,0.5,0.85,ecod,0.99,off,0.9924471299093656,2.1980367050789584,217452,103,4686,4581,4224,98,133
42,path_b,0.4,0.5,0.85,off,off,off,0.13293051359516617,93.53393085787451,225822,4383,4686,0,4385,98,133
42,path_b,0.4,0.5,0.85,bnn_mean,0.9,off,0.8753776435045317,56.914212548015364,225822,2667,4686,2014,4385,98,133
42,path_b,0.4,0.5,0.85,bnn_mean,0.95,off,0.9290030211480362,43.555271020059756,225822,2041,4686,2642,4385,98,133
42,path_b,0.4,0.5,0.85,bnn_mean,0.99,off,0.9894259818731118,24.349125053350406,225822,1141,4686,3544,4385,98,133
42,path_b,0.4,0.5,0.85,bnn_variance,0.9,off,0.879154078549849,22.385830132309007,225822,1049,4686,3636,4385,98,133
42,path_b,0.4,0.5,0.85,bnn_variance,0.95,off,0.9305135951661632,17.26419120785318,225822,809,4686,3876,4385,98,133
42,path_b,0.4,0.5,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,225822,533,4686,4152,4385,98,133
42,path_b,0.4,0.5,0.85,bnn_combined,0.9,off,0.8806646525679759,53.435766111822446,225822,2504,4686,2179,4385,98,133
42,path_b,0.4,0.5,0.85,bnn_combined,0.95,off,0.93202416918429,42.381562099871964,225822,1986,4686,2698,4385,98,133
42,path_b,0.4,0.5,0.85,bnn_combined,0.99,off,0.9901812688821753,22.91933418693982,225822,1074,4686,3611,4385,98,133
42,path_b,0.4,0.5,0.85,isolation_forest,0.9,off,0.8874622356495468,28.91591976099018,225822,1355,4686,3319,4385,98,133
42,path_b,0.4,0.5,0.85,isolation_forest,0.95,off,0.9441087613293051,16.88006828851899,225822,791,4686,3891,4385,98,133
42,path_b,0.4,0.5,0.85,isolation_forest,0.99,off,0.9856495468277946,6.167306871532223,225822,289,4686,4395,4385,98,133
42,path_b,0.4,0.5,0.85,autoencoder,0.9,off,0.9259818731117825,13.892445582586427,225822,651,4686,4012,4385,98,133
42,path_b,0.4,0.5,0.85,autoencoder,0.95,off,0.9622356495468278,8.728126333760136,225822,409,4686,4262,4385,98,133
42,path_b,0.4,0.5,0.85,autoencoder,0.99,off,0.9939577039274925,2.4327784891165174,225822,114,4686,4571,4385,98,133
